Category: All categories

Month,Bitcoin: (United States)
2015-01,3
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,2
2016-09,2
2016-10,2
2016-11,3
2016-12,3
2017-01,5
2017-02,4
2017-03,5
2017-04,4
2017-05,11
2017-06,11
2017-07,9
2017-08,16
2017-09,15
2017-10,16
2017-11,39
2017-12,100
2018-01,49
2018-02,35
2018-03,20
2018-04,16
2018-05,12
2018-06,12
2018-07,11
2018-08,11
2018-09,9
2018-10,7
2018-11,10
2018-12,10
2019-01,7
2019-02,7
2019-03,6
2019-04,9
2019-05,13
2019-06,16
2019-07,14
2019-08,11
2019-09,9
2019-10,8
2019-11,8
2019-12,7
2020-01,8
2020-02,10
2020-03,12
2020-04,10
2020-05,13
2020-06,9
2020-07,10
2020-08,11
2020-09,8
2020-10,9
2020-11,17
2020-12,25
2021-01,48
2021-02,50
2021-03,36
